Age,gender,EstimatedSalary,Purchased
19,0,19000,0
35,1,20000,0
26,0,43000,0
27,0,57000,0
19,0,76000,0
27,1,58000,0
27,0,84000,0
32,1,150000,1
25,1,33000,0
35,1,65000,0
26,1,80000,0
26,1,52000,0
20,1,86000,0
32,0,18000,0
18,0,82000,0
29,1,80000,0
47,0,25000,1
45,1,26000,1
46,0,28000,1
48,0,29000,1
45,0,22000,1
47,0,49000,1
48,1,41000,1
45,0,22000,1
46,1,23000,1
47,1,20000,1
49,1,28000,1
47,1,30000,1
29,0,43000,0
31,1,18000,0
31,1,74000,0
27,0,137000,1
21,0,16000,0
28,0,44000,0
27,0,90000,0
35,0,27000,0
33,0,28000,0
30,0,49000,0
26,0,72000,0
27,1,31000,0
27,0,17000,0
33,0,51000,0
35,0,108000,0
30,0,15000,0
28,1,84000,0
23,1,20000,0
25,1,79000,0
27,0,54000,0
30,0,135000,1
31,0,89000,0
24,0,32000,0
18,0,44000,0
29,1,83000,0
35,1,23000,0
27,1,58000,0
24,0,55000,0
23,0,48000,0
28,1,79000,0
22,0,18000,0
32,0,117000,0
27,1,20000,0
25,0,87000,0
23,0,66000,0
32,0,120000,1
59,0,83000,0
24,0,58000,0
24,1,19000,0
23,0,82000,0
22,0,63000,0
31,0,68000,0
25,0,80000,0
24,1,27000,0
20,1,23000,0
33,0,113000,0
32,0,18000,0
34,0,112000,1
18,1,52000,0
22,1,27000,0
28,0,87000,0
26,0,17000,0
30,1,80000,0
39,0,42000,0
20,0,49000,0
35,1,88000,0
30,1,62000,0
31,0,118000,1
24,0,55000,0
28,0,85000,0
26,1,81000,0
35,1,50000,0
22,0,81000,0
30,0,116000,0
26,0,15000,0
29,1,28000,0
29,1,83000,0
35,1,44000,0
35,0,25000,0
28,0,123000,1
35,0,73000,0
28,0,37000,0
27,1,88000,0
28,1,59000,0
32,1,86000,0
33,1,149000,1
19,1,21000,0
21,1,72000,0
26,0,35000,0
27,1,89000,0
26,0,86000,0
38,1,80000,0
39,0,71000,0
37,0,71000,0
38,0,61000,0
37,1,55000,0
42,0,80000,0
40,0,57000,0
35,1,75000,0
36,1,52000,0
40,1,59000,0
41,0,59000,0
36,0,75000,0
37,0,72000,0
40,1,75000,0
35,0,53000,0
41,1,51000,0
39,1,61000,0
42,1,65000,0
26,0,32000,0
30,1,17000,0
26,1,84000,0
31,1,58000,0
33,1,31000,0
30,1,87000,0
21,1,68000,0
28,1,55000,0
23,0,63000,0
20,1,82000,0
30,1,107000,1
28,1,59000,0
19,1,25000,0
19,0,85000,0
18,1,68000,0
35,0,59000,0
30,1,89000,0
34,0,25000,0
24,0,89000,0
27,1,96000,1
41,1,30000,0
29,0,61000,0
20,0,74000,0
26,0,15000,0
41,0,45000,0
31,1,76000,0
36,0,50000,0
40,1,47000,0
31,0,15000,0
46,0,59000,0
29,1,75000,0
26,1,30000,0
32,1,135000,1
32,1,100000,1
25,1,90000,0
37,1,33000,0
35,1,38000,0
33,0,69000,0
18,0,86000,0
22,0,55000,0
35,1,71000,0
29,1,148000,1
29,0,47000,0
21,1,88000,0
34,0,115000,0
26,1,118000,0
34,1,43000,0
34,1,72000,0
23,0,28000,0
35,1,47000,0
25,1,22000,0
24,1,23000,0
31,0,34000,0
26,0,16000,0
31,0,71000,0
32,1,117000,1
33,0,43000,0
33,1,60000,0
31,0,66000,0
20,0,82000,0
33,0,41000,0
35,1,72000,0
28,1,32000,0
24,1,84000,0
19,0,26000,0
29,1,43000,0
19,1,70000,0
28,1,89000,0
34,1,43000,0
30,0,79000,0
20,1,36000,0
26,1,80000,0
35,0,22000,0
35,0,39000,0
49,1,74000,0
39,0,134000,1
41,1,71000,0
58,0,101000,1
47,0,47000,0
55,0,130000,1
52,0,114000,0
40,1,142000,1
46,0,22000,0
48,0,96000,1
52,1,150000,1
59,0,42000,0
35,0,58000,0
47,0,43000,0
60,1,108000,1
49,0,65000,0
40,0,78000,0
46,0,96000,0
59,1,143000,1
41,1,80000,0
35,0,91000,1
37,1,144000,1
60,1,102000,1
35,0,60000,0
37,1,53000,0
36,1,126000,1
56,1,133000,1
40,1,72000,0
42,0,80000,1
35,0,147000,1
39,1,42000,0
40,1,107000,1
49,0,86000,1
38,0,112000,0
46,0,79000,1
40,1,57000,0
37,1,80000,0
46,1,82000,0
53,1,143000,1
42,1,149000,1
38,1,59000,0
50,0,88000,1
56,0,104000,1
41,0,72000,0
51,0,146000,1
35,1,50000,0
57,1,122000,1
41,1,52000,0
35,0,97000,1
44,1,39000,0
37,0,52000,0
48,0,134000,1
37,0,146000,1
50,0,44000,0
52,1,90000,1
41,0,72000,0
40,0,57000,0
58,1,95000,1
45,1,131000,1
35,0,77000,0
36,0,144000,1
55,1,125000,1
35,1,72000,0
48,1,90000,1
42,0,108000,1
40,0,75000,0
37,0,74000,0
47,1,144000,1
40,0,61000,0
43,0,133000,0
59,0,76000,1
60,1,42000,1
39,1,106000,1
57,1,26000,1
57,0,74000,1
38,0,71000,0
49,1,88000,1
52,1,38000,1
50,0,36000,1
59,1,88000,1
35,0,61000,0
37,0,70000,1
52,0,21000,1
48,1,141000,0
37,1,93000,1
37,0,62000,0
48,0,138000,1
41,1,79000,0
37,1,78000,1
39,1,134000,1
49,1,89000,1
55,1,39000,1
37,1,77000,0
35,0,57000,0
36,0,63000,0
42,0,73000,1
43,0,112000,1
45,0,79000,0
46,0,117000,1
58,1,38000,1
48,1,74000,1
37,0,137000,1
37,0,79000,1
40,1,60000,0
42,0,54000,0
51,1,134000,0
47,0,113000,1
36,1,125000,1
38,0,50000,0
42,1,70000,0
39,1,96000,1
38,0,50000,0
49,1,141000,1
39,1,79000,0
39,1,75000,1
54,0,104000,1
35,1,55000,0
45,0,32000,1
36,1,60000,0
52,0,138000,1
53,0,82000,1
41,1,52000,0
48,0,30000,1
48,1,131000,1
41,1,60000,0
41,0,72000,0
42,1,75000,0
36,0,118000,1
47,0,107000,1
38,1,51000,0
48,1,119000,1
42,1,65000,0
40,1,65000,0
57,0,60000,1
36,1,54000,0
58,1,144000,1
35,0,79000,0
38,1,55000,0
39,1,122000,1
53,0,104000,1
35,1,75000,0
38,0,65000,0
47,1,51000,1
47,1,105000,1
41,0,63000,0
53,1,72000,1
54,1,108000,1
39,1,77000,0
38,1,61000,0
38,0,113000,1
37,1,75000,0
42,0,90000,1
37,0,57000,0
36,0,99000,1
60,1,34000,1
54,1,70000,1
41,0,72000,0
40,0,71000,1
42,1,54000,0
43,0,129000,1
53,1,34000,1
47,0,50000,1
42,1,79000,0
42,0,104000,1
59,0,29000,1
58,1,47000,1
46,1,88000,1
38,0,71000,0
54,0,26000,1
60,0,46000,1
60,0,83000,1
39,1,73000,0
59,1,130000,1
37,0,80000,0
46,0,32000,1
46,1,74000,0
42,1,53000,0
41,0,87000,1
58,0,23000,1
42,1,64000,0
48,1,33000,1
44,0,139000,1
49,1,28000,1
57,0,33000,1
56,1,60000,1
49,0,39000,1
39,1,71000,0
47,1,34000,1
48,1,35000,1
48,0,33000,1
47,0,23000,1
45,1,45000,1
60,1,42000,1
39,0,59000,0
46,1,41000,1
51,0,23000,1
50,0,20000,1
36,1,33000,0
49,0,36000,1